Name,X,Y,Z,X,Y,Z
c_pelvis01_jj_01,0,0,0,0,0,0
c_tail03_jj_03,0,0,0,0,0,0
c_tail04_jj_04,0,0,0,0,0,0
c_tail05_jj_05,0,0,0,0,0,0
c_tail06_jj_06,0,0,0,0,0,0
c_tail07_jj_07,0,0,0,0,0,0
c_tail08_jj_08,0,0,0,0,0,0
c_tail09_jj_09,0,0,0,0,0,0
c_tail10_jj_010,0,0,0,0,0,0
c_tail11_jj_011,0,0,0,0,0,0
c_tail12_jj_012,0,0,0,0,0,0
c_tail13_jj_013,0,0,0,0,0,0
c_tail14_jj_014,0,0,0,0,0,0
c_tail15_jj_015,0,0,0,0,0,0
c_tail16_jj_016,0,0,0,0,0,0
c_tail17_jj_017,0,0,0,0,0,0
c_tail18_jj_018,0,0,0,0,0,0
c_tail19_jj_019,0,0,0,0,0,0
c_tail20_jj_020,0,0,0,0,0,0
c_tail21_jj_021,0,0,0,0,0,0
c_tail22_jj_022,0,0,0,0,0,0
c_tail23_jj_023,0,0,0,0,0,0
c_spine01_jj_024,0,0,0,0,0,0
c_spine02_jj_025,0,0,0,0,0,0
c_spine03_jj_026,0,0,0,0,0,0
c_spine04_jj_027,0,0,0,0,0,0
c_spine05_jj_028,0,0,0,0,0,0
c_neck01_jj_029,0,0,0,0,0,0
c_head01_jj_030,0,0,0,0,0,0
l_ear01_jj_033,0,0,0,0,0,0
r_ear01_jj_036,0,0,0,0,0,0
l_eye01_jj_039,0,0,0,0,0,0
r_eye01_jj_040,0,0,0,0,0,0
organ_protect_1_L_041,0,0,0,0,0,0
organ_protect_1_R_042,0,0,0,0,0,0
l_scapula01_jj_043,0,0,0,0,0,0
l_humerus01_jj_044,0,0,0,0,0,0
l_ulna01_jj_045,0,0,0,0,0,0
l_metacarpus01_jj_046,0,0,0,0,0,0
r_scapula01_jj_066,0,0,0,0,0,0
r_humerus01_jj_067,0,0,0,0,0,0
r_ulna01_jj_068,0,0,0,0,0,0
r_metacarpus01_jj_069,0,0,0,0,0,0
organ_protect_B_L_089,0,0,0,0,0,0
organ_protect_B_R_091,0,0,0,0,0,0
organ_protect_2_094,0,0,0,0,0,0
organ_protect_L_096,0,0,0,0,0,0
organ_protect_S_097,0,0,0,0,0,0
organ_protect_L_2_099,0,0,0,0,0,0
l_femur01_jj_0100,0,0,0,0,0,0
l_tibia01_jj_00,0,0,0,0,0,0
l_metatarsus01_jj_0101,0,0,0,0,0,0
r_femur01_jj_0123,0,0,0,0,0,0
r_tibia01_jj_0124,0,0,0,0,0,0
r_metatarsus01_jj_0125,0,0,0,0,0,0
MouseLiver_back,1,,,,,
MouseHeart_squash,0.286,,,,,
MouseHeart_back,0.918,,,,,
Gland1_long_scale,0,,,,,
Gland1_left_bend,0.692,,,,,
Gland1_wide_scale,0,,,,,
Gland1_right_bend,0.591,,,,,
Gland2_long_scale,0,,,,,
Gland2_wide_scale,0,,,,,
Gland2_left_bend,0,,,,,
Gland2_right_bend,0.654,,,,,
