Name,X,Y,Z,X,Y,Z
c_pelvis01_jj_01,0.005,-2.643,0.154,-0.651,-0.276,0.079
c_tail03_jj_03,0,0,0,0.08,-0.132,0.322
c_tail04_jj_04,0,0,0,0.047,-0.162,0.062
c_tail05_jj_05,0,0,0,0.083,-0.17,-0.066
c_tail06_jj_06,0,0,0,0.022,-0.208,0.043
c_tail07_jj_07,0,0,0,0.014,-0.191,0.001
c_tail08_jj_08,0,0,0,0.006,-0.174,0.001
c_tail09_jj_09,0,0,0,0.002,-0.175,0
c_tail10_jj_010,0,0,0,0.002,-0.175,0
c_tail11_jj_011,0,0,0,-0.005,-0.166,0
c_tail12_jj_012,0,0,0,0,-0.14,0
c_tail13_jj_013,0,0,0,-0.001,-0.14,0
c_tail14_jj_014,0,0,0,0.001,-0.14,0
c_tail15_jj_015,0,0,0,0.001,-0.14,0
c_tail16_jj_016,0,0,0,0,-0.14,0
c_tail17_jj_017,0,0,0,-0.003,-0.14,0
c_tail18_jj_018,0,0,0,0.001,-0.14,0
c_tail19_jj_019,0,0,0,0,-0.14,0
c_tail20_jj_020,0,0,0,0,-0.14,0
c_tail21_jj_021,0,0,0,0.001,-0.122,0
c_tail22_jj_022,0,0,0,0.002,-0.122,0
c_tail23_jj_023,0,0,0,0,0,0
c_spine01_jj_024,0,0,0,-6.232,-0.084,-0.107
c_spine02_jj_025,0.347,0,0,0.1,0.188,0.042
c_spine03_jj_026,0,0,0,0.224,0.354,-0.277
c_spine04_jj_027,0,0,0,0.335,0.686,-0.485
c_spine05_jj_028,0,0,0,0.052,0.564,-0.15
c_neck01_jj_029,-0.477,0.063,0,-0.002,0.045,0.013
c_head01_jj_030,-0.386,-0.131,-0.005,0.162,0.016,-0.361
l_ear01_jj_033,-0.347,-0.482,-0.004,-5.658,-0.611,-0.645
r_ear01_jj_036,-0.168,-0.317,-0.013,5.463,0.393,-1.02
l_eye01_jj_039,0,0,0,0,0,0
r_eye01_jj_040,0,0,0,0,0,0
organ_protect_1_L_041,-0.392,-0.062,1.203,0,0,0
organ_protect_1_R_042,-1.595,-0.582,-0.05,-1.104,-0.551,0.209
l_scapula01_jj_043,0,0,0,0.044,0.028,-0.001
l_humerus01_jj_044,-0.302,0.376,-0.06,0.819,0.656,-0.856
l_ulna01_jj_045,0.333,-0.04,0,0,0,0.341
l_metacarpus01_jj_046,0,0,0,0.074,-0.095,-0.358
r_scapula01_jj_066,0,0,0,-0.078,-0.042,0.065
r_humerus01_jj_067,0.701,-0.612,0.127,0.214,0.118,0.493
r_ulna01_jj_068,-0.066,0.016,0,0,0,0.067
r_metacarpus01_jj_069,0,0,0,-0.149,-0.231,-0.777
organ_protect_B_L_089,0,0,0,0.221,0.127,-1.371
organ_protect_B_R_091,0,0,0,0.761,-0.126,-0.757
organ_protect_2_094,-0.542,0.1,-0.003,0.155,0.515,-0.2
organ_protect_L_096,0.356,-0.017,0.355,-0.028,0.634,0.017
organ_protect_S_097,-0.221,0.146,0.098,0,0,0
organ_protect_L_2_099,0,0,0,0,0,0
l_femur01_jj_0100,0,0,0,-0.069,0.225,0.294
l_tibia01_jj_00,0,0,0,0,0,0.415
l_metatarsus01_jj_0101,0,0,0,-0.405,0.032,0.056
r_femur01_jj_0123,0,0,0,-0.231,0.106,-0.617
r_tibia01_jj_0124,0,0,0,0,0,-0.128
r_metatarsus01_jj_0125,0,0,0,0.805,-0.143,1.091
MouseLiver_back,1,,,,,
MouseHeart_squash,0,,,,,
MouseHeart_back,0.176,,,,,
Gland1_long_scale,0,,,,,
Gland1_left_bend,0,,,,,
Gland1_wide_scale,0,,,,,
Gland1_right_bend,1,,,,,
Gland2_long_scale,0,,,,,
Gland2_wide_scale,0,,,,,
Gland2_left_bend,0,,,,,
Gland2_right_bend,1,,,,,
