Name,X,Y,Z,X,Y,Z
c_pelvis01_jj_01,-0.113,-2.192,0.521,-1.188,-0.047,0.612
c_tail03_jj_03,0,0,0,-0.139,0.196,0.306
c_tail04_jj_04,0,0,0,-0.17,0.211,0.231
c_tail05_jj_05,0,0,0,-0.013,0.227,0.002
c_tail06_jj_06,0,0,0,-0.032,0.225,0.003
c_tail07_jj_07,0,0,0,-0.016,0.218,0.001
c_tail08_jj_08,0,0,0,-0.008,0.216,0.001
c_tail09_jj_09,0,0,0,-0.002,0.215,0
c_tail10_jj_010,0,0,0,-0.002,0.213,0
c_tail11_jj_011,0,0,0,0.006,0.211,0
c_tail12_jj_012,0,0,0,0,0.175,0
c_tail13_jj_013,0,0,0,0.001,0.157,0
c_tail14_jj_014,0,0,0,-0.001,0.14,0
c_tail15_jj_015,0,0,0,-0.001,0.122,0
c_tail16_jj_016,0,0,0,0,0.113,-0.007
c_tail17_jj_017,0,0,0,0.002,0.113,0
c_tail18_jj_018,0,0,0,-0.001,0.105,0
c_tail19_jj_019,0,0,0,0,0.105,0
c_tail20_jj_020,0,0,0,0,0.096,0
c_tail21_jj_021,0,0,0,-0.001,0.087,-0.015
c_tail22_jj_022,0,0,0,-0.001,0.087,-0.015
c_tail23_jj_023,0,0,0,0,0,0
c_spine01_jj_024,0,0,0,-6.262,-0.028,0.094
c_spine02_jj_025,-0.524,0,0,0.004,0.046,0.052
c_spine03_jj_026,0,0,0,-0.004,0.018,-0.365
c_spine04_jj_027,0,0,0,-0.002,0.03,-0.424
c_spine05_jj_028,0,0,0,0.07,-0.002,-0.202
c_neck01_jj_029,-0.113,0.015,0,-0.003,0.008,-0.038
c_head01_jj_030,-0.001,-0.083,0,0,0,-0.332
l_ear01_jj_033,0,0,0,-5.552,-0.466,-0.558
r_ear01_jj_036,0,0,0,5.851,0.526,-0.816
l_eye01_jj_039,0,0,0,0,0,0
r_eye01_jj_040,0,0,0,0,0,0
organ_protect_1_L_041,-0.229,-0.257,0.118,-0.358,-0.382,0.455
organ_protect_1_R_042,-0.669,-0.329,0,0,0.144,0
l_scapula01_jj_043,0,0,0,0.044,0.028,-0.001
l_humerus01_jj_044,0.032,0.221,-0.046,0.392,0.113,-0.031
l_ulna01_jj_045,0.124,-0.029,0,0,0,0.129
l_metacarpus01_jj_046,0,0,0,-0.401,-0.074,-0.472
r_scapula01_jj_066,0,0,0,-0.078,-0.042,0.103
r_humerus01_jj_067,-0.138,-0.349,0.111,0.202,-0.259,-0.329
r_ulna01_jj_068,-0.266,0.037,0,0,0,0.267
r_metacarpus01_jj_069,0,0,0,-0.345,0.147,-0.197
organ_protect_B_L_089,0,0,0,1.052,-0.501,-1.417
organ_protect_B_R_091,0,0,0,0,0,0
organ_protect_2_094,0.191,0.532,-0.542,0,-0.359,-0.009
organ_protect_L_096,0.092,0.587,-0.905,0.104,0.106,0.048
organ_protect_S_097,0.071,0.113,-0.331,0.043,0.002,0.001
organ_protect_L_2_099,0.52,0.091,-0.11,0.148,0.004,0.003
l_femur01_jj_0100,0,0,0,-0.08,-0.017,-0.161
l_tibia01_jj_00,0,0,0,0,0,-0.145
l_metatarsus01_jj_0101,0,0,0,0.015,-0.051,0.861
r_femur01_jj_0123,0,0,0,-0.03,0,-0.326
r_tibia01_jj_0124,0,0,0,0,0,-0.096
r_metatarsus01_jj_0125,0,0,0,-0.064,-0.203,0.924
MouseLiver_back,1,,,,,
MouseHeart_squash,0.286,,,,,
MouseHeart_back,0.918,,,,,
Gland1_long_scale,0,,,,,
Gland1_left_bend,0,,,,,
Gland1_wide_scale,0,,,,,
Gland1_right_bend,0.654,,,,,
Gland2_long_scale,0,,,,,
Gland2_wide_scale,0,,,,,
Gland2_left_bend,0.692,,,,,
Gland2_right_bend,0.591,,,,,
