Name,X,Y,Z,X,Y,Z
c_pelvis01_jj_01,-0.054,-2.575,0.35,-0.736,-0.178,0.161
c_tail03_jj_03,0,0,0,-0.076,0.222,0.237
c_tail04_jj_04,0,0,0,-0.164,0.213,0.204
c_tail05_jj_05,0,0,0,-0.013,0.227,0.002
c_tail06_jj_06,0,0,0,-0.032,0.225,0.003
c_tail07_jj_07,0,0,0,-0.016,0.218,0.001
c_tail08_jj_08,0,0,0,-0.008,0.216,0.001
c_tail09_jj_09,0,0,0,-0.002,0.215,0
c_tail10_jj_010,0,0,0,-0.002,0.213,0
c_tail11_jj_011,0,0,0,0.006,0.211,0
c_tail12_jj_012,0,0,0,0,0.175,0
c_tail13_jj_013,0,0,0,0.001,0.157,0
c_tail14_jj_014,0,0,0,-0.001,0.14,0
c_tail15_jj_015,0,0,0,-0.001,0.122,0
c_tail16_jj_016,0,0,0,0,0.113,-0.007
c_tail17_jj_017,0,0,0,0.002,0.113,0
c_tail18_jj_018,0,0,0,-0.001,0.105,0
c_tail19_jj_019,0,0,0,0,0.105,0
c_tail20_jj_020,0,0,0,0,0.096,0
c_tail21_jj_021,0,0,0,-0.001,0.087,-0.015
c_tail22_jj_022,0,0,0,-0.001,0.087,-0.015
c_tail23_jj_023,0,0,0,0,0,0
c_spine01_jj_024,0,0,0,-6.271,-0.018,0.02
c_spine02_jj_025,-0.061,0,0,0.063,0.135,-0.057
c_spine03_jj_026,0,0,0,0.121,0.224,-0.245
c_spine04_jj_027,0,0,0,0.142,0.37,-0.384
c_spine05_jj_028,0,0,0,0.137,0.275,-0.309
c_neck01_jj_029,-0.24,0.032,0,-0.003,0.025,-0.032
c_head01_jj_030,-0.212,-0.116,-0.003,0.081,0.008,-0.354
l_ear01_jj_033,-0.152,-0.213,0.029,-5.573,-0.559,-0.617
r_ear01_jj_036,-0.054,-0.162,0.011,5.669,0.48,-0.968
l_eye01_jj_039,0,0,0,0,0,0
r_eye01_jj_040,0,0,0,0,0,0
organ_protect_1_L_041,-0.002,0.051,0.171,-0.496,-0.44,0.544
organ_protect_1_R_042,-0.768,-0.353,0.452,4.468,-0.273,0.368
l_scapula01_jj_043,0,0,0,0.044,0.028,-0.001
l_humerus01_jj_044,-0.085,0.276,-0.051,0.335,0.357,-0.219
l_ulna01_jj_045,0.139,-0.031,0,0,0,0.144
l_metacarpus01_jj_046,0,0,0,0.04,0.017,-0.496
r_scapula01_jj_066,0,0,0,-0.078,-0.042,0.065
r_humerus01_jj_067,0.262,-0.489,0.104,0.403,0.149,0.323
r_ulna01_jj_068,-0.07,0.017,0,0,0,0.071
r_metacarpus01_jj_069,0,0,0,-0.374,-0.112,-0.857
organ_protect_B_L_089,0,0,0,-0.175,0.235,-0.303
organ_protect_B_R_091,0,0,0,0.479,-0.387,-0.507
organ_protect_2_094,-0.268,0.296,-0.027,-0.183,0.184,0.122
organ_protect_L_096,-0.561,0.048,-0.024,-0.081,0.429,0.15
organ_protect_S_097,-0.095,-0.064,0.204,0,0,0
organ_protect_L_2_099,0.52,0.091,-0.11,0.148,0.004,0.003
l_femur01_jj_0100,0,0,0,-0.058,0.145,-0.102
l_tibia01_jj_00,0,0,0,0,0,0.245
l_metatarsus01_jj_0101,0,0,0,-0.22,-0.133,0.527
r_femur01_jj_0123,0,0,0,-0.136,0.063,-0.536
r_tibia01_jj_0124,0,0,0,0,0,-0.083
r_metatarsus01_jj_0125,0,0,0,0.374,-0.213,1.028
MouseLiver_back,1,,,,,
MouseHeart_squash,0.767,,,,,
MouseHeart_back,0.371,,,,,
Gland1_long_scale,0,,,,,
Gland1_left_bend,0,,,,,
Gland1_wide_scale,0,,,,,
Gland1_right_bend,0.654,,,,,
Gland2_long_scale,0,,,,,
Gland2_wide_scale,0,,,,,
Gland2_left_bend,0,,,,,
Gland2_right_bend,0.906,,,,,
