Name,X,Y,Z,X,Y,Z
c_pelvis01_jj_01,-0.249,-2.3,-0.1,-1.188,-0.047,0.425
c_tail03_jj_03,0,0,0,0.085,-0.147,0.332
c_tail04_jj_04,0,0,0,0.047,-0.162,0.062
c_tail05_jj_05,0,0,0,0.082,-0.223,-0.066
c_tail06_jj_06,0,0,0,0.025,-0.226,0.043
c_tail07_jj_07,0,0,0,0.017,-0.226,0.002
c_tail08_jj_08,0,0,0,0.008,-0.209,0.001
c_tail09_jj_09,0,0,0,0.002,-0.209,0
c_tail10_jj_010,0,0,0,0.002,-0.175,0
c_tail11_jj_011,0,0,0,-0.005,-0.166,0
c_tail12_jj_012,0,0,0,0,-0.14,0
c_tail13_jj_013,0,0,0,-0.001,-0.14,0
c_tail14_jj_014,0,0,0,0.001,-0.14,0
c_tail15_jj_015,0,0,0,0.001,-0.14,0
c_tail16_jj_016,0,0,0,0,-0.14,0
c_tail17_jj_017,0,0,0,-0.003,-0.14,0
c_tail18_jj_018,0,0,0,0.001,-0.14,0
c_tail19_jj_019,0,0,0,0,-0.14,0
c_tail20_jj_020,0,0,0,0,-0.14,0
c_tail21_jj_021,0,0,0,0.001,-0.122,0
c_tail22_jj_022,0,0,0,0.002,-0.122,0
c_tail23_jj_023,0,0,0,0,0,0
c_spine01_jj_024,0,0,0,-6.264,-0.031,-0.082
c_spine02_jj_025,-0.236,0,0,0.002,0.025,-0.097
c_spine03_jj_026,0,0,0,-0.011,-0.001,-0.27
c_spine04_jj_027,0,0,0,0.004,0.069,-0.055
c_spine05_jj_028,0,0,0,-0.025,0.061,0.068
c_neck01_jj_029,0.246,0.044,-0.014,-0.017,0.057,0.465
c_head01_jj_030,-0.36,-0.129,-0.005,0.162,0.016,0.386
l_ear01_jj_033,0.107,-0.479,-0.499,-0.332,-0.037,0.052
r_ear01_jj_036,0.204,0.773,-1.014,-0.135,-0.042,0.091
l_eye01_jj_039,0,0,0,0,0,0
r_eye01_jj_040,0,0,0,0,0,0
organ_protect_1_L_041,0,0,0,0,0,0
organ_protect_1_R_042,-0.669,-0.329,0,0,0.144,0
l_scapula01_jj_043,0,0,0,0.044,0.028,-0.001
l_humerus01_jj_044,0.066,0.206,-0.045,0.275,0.359,0.587
l_ulna01_jj_045,-0.163,0.065,0,0,0,-0.178
l_metacarpus01_jj_046,0,0,0,-0.126,0.045,0.212
r_scapula01_jj_066,0,0,0,-0.078,-0.042,0.065
r_humerus01_jj_067,-0.138,-0.522,0.185,-0.244,0.055,0.159
r_ulna01_jj_068,-0.543,-0.002,0,0,0,0.546
r_metacarpus01_jj_069,0,0,0,0.042,0.088,-0.028
organ_protect_B_L_089,0,0,0,-0.273,-0.029,0.035
organ_protect_B_R_091,0,0,0,0.2,0.029,-0.494
organ_protect_2_094,-0.136,0.05,-0.064,-0.225,-0.155,-0.17
organ_protect_L_096,-0.128,-0.108,-0.231,-0.166,-0.005,0.001
organ_protect_S_097,0,0,0,0,0,0
organ_protect_L_2_099,0.068,0.069,-0.105,0,0,0
l_femur01_jj_0100,0,0,0,-0.261,-0.462,0.281
l_tibia01_jj_00,0,0,0,0,0,0.071
l_metatarsus01_jj_0101,0,0,0,0.013,0.214,0.335
r_femur01_jj_0123,0,0,0,0.327,0.386,0.501
r_tibia01_jj_0124,0,0,0,0,0,0.282
r_metatarsus01_jj_0125,0,0,0,0.258,-0.288,-0.138
MouseLiver_back,0.516,,,,,
MouseHeart_squash,1,,,,,
MouseHeart_back,0,,,,,
Gland1_long_scale,0.453,,,,,
Gland1_left_bend,0,,,,,
Gland1_wide_scale,0,,,,,
Gland1_right_bend,0,,,,,
Gland2_long_scale,0,,,,,
Gland2_wide_scale,0,,,,,
Gland2_left_bend,0,,,,,
Gland2_right_bend,0,,,,,
