Name,X,Y,Z,X,Y,Z
c_pelvis01_jj_01,-0.231,-2.852,0.15,-1.136,-0.047,0.406
c_tail03_jj_03,0,0,0,0.172,-0.097,0.181
c_tail04_jj_04,0,0,0,0.085,-0.266,0.164
c_tail05_jj_05,0,0,0,0.017,-0.31,-0.04
c_tail06_jj_06,0,0,0,0.047,-0.325,0.007
c_tail07_jj_07,0,0,0,0.021,-0.276,0.002
c_tail08_jj_08,0,0,0,0.009,-0.234,0.001
c_tail09_jj_09,0,0,0,0.002,-0.211,0
c_tail10_jj_010,0,0,0,0.002,-0.213,0
c_tail11_jj_011,0,0,0,-0.005,-0.157,0
c_tail12_jj_012,0,0,0,0,-0.157,0
c_tail13_jj_013,0,0,0,-0.001,-0.157,0
c_tail14_jj_014,0,0,0,0.002,-0.157,0
c_tail15_jj_015,0,0,0,0.001,-0.157,0
c_tail16_jj_016,0,0,0,0,-0.157,0
c_tail17_jj_017,0,0,0,-0.003,-0.157,0
c_tail18_jj_018,0,0,0,0.002,-0.157,0
c_tail19_jj_019,0,0,0,0,-0.157,0
c_tail20_jj_020,0,0,0,0,-0.157,0
c_tail21_jj_021,0,0,0,0.001,-0.157,0.001
c_tail22_jj_022,0,0,0,0.003,-0.157,0
c_tail23_jj_023,0,0,0,0,0,0
c_spine01_jj_024,0,0,0,-6.275,-0.014,-0.152
c_spine02_jj_025,0.166,0,0,-0.045,-0.058,-0.194
c_spine03_jj_026,0,0,0,-0.053,-0.083,-0.153
c_spine04_jj_027,0,0,0,0.008,0.128,0.039
c_spine05_jj_028,0,0,0,-0.191,0.165,0.116
c_neck01_jj_029,0.7,1.205,0.056,-0.198,-0.153,0.557
c_head01_jj_030,-0.352,-0.123,-0.009,0.223,0.146,0.671
l_ear01_jj_033,0.097,-0.449,-0.519,-0.259,0.013,0.191
r_ear01_jj_036,0.125,0.48,-0.822,0.017,0.024,0.022
l_eye01_jj_039,0,0,0,0,0,0
r_eye01_jj_040,0,0,0,0,0,0
organ_protect_1_L_041,-0.422,0.232,0.028,0,0,0
organ_protect_1_R_042,-0.875,-0.425,0.605,0,0.144,0
l_scapula01_jj_043,0,0,0,0,0,0.06
l_humerus01_jj_044,0.028,0.359,-0.077,0.476,-0.012,0.183
l_ulna01_jj_045,-0.096,0.034,0,0,0,-0.103
l_metacarpus01_jj_046,0,0,0,-0.311,0.318,-0.305
r_scapula01_jj_066,0,0,0,-0.078,-0.042,0.065
r_humerus01_jj_067,0.002,-0.979,0.508,-0.033,0.24,0.598
r_ulna01_jj_068,0.025,-0.007,0,0,0,-0.026
r_metacarpus01_jj_069,0,0,0,-0.292,-0.073,-0.062
organ_protect_B_L_089,0,0,0,0.567,-0.218,-0.643
organ_protect_B_R_091,0,0,0,0.426,-0.052,-0.42
organ_protect_2_094,-0.104,-0.2,-0.099,0.026,-0.212,-0.114
organ_protect_L_096,0.052,-0.272,-0.008,0,0,0
organ_protect_S_097,-0.154,0.102,0.674,0,0,0
organ_protect_L_2_099,0.068,0.069,-0.105,0,0,0
l_femur01_jj_0100,0,0,0,-0.415,-0.593,0.333
l_tibia01_jj_00,0,0,0,0,0,0.112
l_metatarsus01_jj_0101,0,0,0,0.285,0.27,0.094
r_femur01_jj_0123,0,0,0,0.466,0.462,0.389
r_tibia01_jj_0124,0,0,0,0,0,0.337
r_metatarsus01_jj_0125,0,0,0,0.581,-0.479,-0.167
MouseLiver_back,0,,,,,
MouseHeart_squash,0.579,,,,,
MouseHeart_back,0,,,,,
Gland1_long_scale,0.629,,,,,
Gland1_left_bend,0,,,,,
Gland1_wide_scale,0,,,,,
Gland1_right_bend,0,,,,,
Gland2_long_scale,0,,,,,
Gland2_wide_scale,0,,,,,
Gland2_left_bend,0,,,,,
Gland2_right_bend,0,,,,,
